2581
JOHN  JHEFERSON 1.08
ROBERT MICHAEL  7.16
MARY WILLIAM  2.93
DAVID RICHARD  4.41
CHARLES JOSEPH  6.93
THOMAS PATRICIA  4.06
CHRISTOPHER LINDA  9.41
BARBARA DANIEL  9.52
PAUL MARK  2.37
ELIZABETH DONALD  0.59
JENNIFER GEORGE  8.59
MARIA KENNETH  2.40
SUSAN STEVEN  0.34
EDWARD MARGARET  2.14
BRIAN RONALD  4.77
DOROTHY ANTHONY  7.17
LISA KEVIN  1.52
NANCY KAREN  0.26
BETTY HELEN  9.45
JASON MATTHEW  6.58
GARY TIMOTHY  2.34
SANDRA JOSE  5.50
LARRY JEFFREY  3.39
FRANK DONNA  9.59
CAROL RUTH  9.98
SCOTT ERIC  9.10
STEPHEN ANDREW  8.54
SHARON MICHELLE  3.93
LAURA SARAH  6.74
KIMBERLY DEBORAH  1.40
JESSICA RAYMOND  1.23
SHIRLEY CYNTHIA  8.43
ANGELA MELISSA  4.95
BRENDA AMY  5.84
JERRY GREGORY  0.22
ANNA JOSHUA  0.13
VIRGINIA REBECCA  5.30
KATHLEEN DENNIS  5.93
PAMELA MARTHA  4.26
DEBRA AMANDA  9.02
WALTER STEPHANIE  3.97
WILLIE PATRICK  2.09
TERRY CAROLYN  3.51
PETER CHRISTINE  1.81
MARIE JANET  8.06
FRANCES CATHERINE  9.65
HAROLD HENRY  2.15
DOUGLAS JOYCE  7.48
ANN DIANE  0.59
ALICE JEAN  3.19
JULIE CARL  4.58
KELLY HEATHER  9.06
ARTHUR TERESA  4.63
GLORIA DORIS  0.46
RYAN JOE  2.96
ROGER EVELYN  7.65
JUAN ASHLEY  5.31
JACK CHERYL  7.80
ALBERT JOAN  0.98
MILDRED KATHERINE  2.42
JUSTIN JONATHAN  6.64
GERALD KEITH  5.05
SAMUEL JUDITH  2.53
ROSE JANICE  3.83
LAWRENCE RALPH  4.20
NICOLE JUDY  4.79
NICHOLAS CHRISTINA  7.73
ROY KATHY  5.13
THERESA BENJAMIN  8.49
BEVERLY DENISE  1.94
BRUCE BRANDON  1.58
ADAM TAMMY  8.62
IRENE FRED  7.07
BILLY HARRY  3.35
JANE WAYNE  4.22
LOUIS LORI  2.56
STEVE TRACY  2.35
JEREMY RACHEL  2.68
ANDREA AARON  9.29
MARILYN ROBIN  0.02
RANDY LESLIE  1.15
KATHRYN EUGENE  8.68
BOBBY HOWARD  2.82
CARLOS SARA  5.26
LOUISE JACQUELINE  0.21
ANNE WANDA  9.33
RUSSELL SHAWN  8.92
VICTOR JULIA  8.08
BONNIE RUBY  5.72
CHRIS TINA  2.87
LOIS PHYLLIS  7.18
JAMIE NORMA  3.92
MARTIN PAULA  9.59
JESSE DIANA  7.20
ANNIE SHANNON  0.97
ERNEST TODD  7.55
PHILLIP LEE  7.16
LILLIAN PEGGY  7.31
EMILY CRYSTAL  6.24
KIM CRAIG  0.94
CARMEN GLADYS  6.01
CONNIE RITA  7.37
ALAN DAWN  3.79
FLORENCE DALE  3.38
SEAN FRANCIS  6.21
JOHNNY CLARENCE  3.12
PHILIP EDNA  5.31
TIFFANY TONY  2.15
ROSA JIMMY  9.20
EARL CINDY  7.45
ANTONIO LUIS  2.28
MIKE DANNY  9.17
BRYAN GRACE  5.99
STANLEY LEONARD  5.81
WENDY NATHAN  9.11
MANUEL CURTIS  6.73
VICTORIA RODNEY  1.87
NORMAN EDITH  0.50
SHERRY SYLVIA  8.23
JOSEPHINE ALLEN  9.72
THELMA SHEILA  6.06
ETHEL MARJORIE  6.34
LYNN ELLEN  8.42
ELAINE MARVIN  1.23
CARRIE MARION  7.33
CHARLOTTE VINCENT  5.01
GLENN TRAVIS  4.56
MONICA JEFFERY  7.00
JEFF ESTHER  4.98
PAULINE JACOB  9.27
EMMA CHAD  3.94
KYLE JUANITA  1.98
DANA MELVIN  3.51
JESSIE RHONDA  8.25
ANITA ALFRED  8.79
HAZEL AMBER  6.79
EVA BRADLEY  6.01
RAY JESUS  1.51
DEBBIE HERBERT  9.03
EDDIE JOEL  4.84
FREDERICK APRIL  7.08
LUCILLE CLARA  2.53
GAIL JOANNE  8.10
ELEANOR VALERIE  0.70
DANIELLE ERIN  5.58
EDWIN MEGAN  9.73
ALICIA SUZANNE  0.32
MICHELE DON  2.57
BERTHA VERONICA  1.92
JILL DARLENE  3.25
RICKY LAUREN  7.83
GERALDINE TROY  1.50
STACY RANDALL  1.85
CATHY JOANN  5.20
SALLY LORRAINE  3.74
BARRY ALEXANDER  0.73
REGINA JACKIE  1.63
ERICA BEATRICE  8.74
DOLORES BERNICE  9.63
MARIO BERNARD  1.13
AUDREY YVONNE  1.29
FRANCISCO MICHEAL  9.62
LEROY JUNE  9.27
ANNETTE SAMANTHA  6.51
MARCUS THEODORE  5.79
OSCAR CLIFFORD  2.33
MIGUEL JAY  5.25
RENEE ANA  0.21
VIVIAN JIM  3.48
IDA TOM  6.50
RONNIE ROBERTA  2.59
HOLLY BRITTANY  1.98
ANGEL ALEX  6.79
MELANIE JON  9.03
YOLANDA TOMMY  8.68
LORETTA JEANETTE  9.43
CALVIN LAURIE  6.61
LEON KATIE  7.66
STACEY LLOYD  0.99
DEREK BILL  8.81
VANESSA SUE  9.89
KRISTEN ALMA  3.13
WARREN ELSIE  6.05
BETH VICKI  3.41
JEANNE JEROME  6.50
DARRELL TARA  9.08
ROSEMARY LEO  7.71
FLOYD DEAN  2.02
CARLA WESLEY  3.29
TERRI EILEEN  8.42
COURTNEY ALVIN  9.24
TIM JORGE  2.83
GREG GORDON  0.61
PEDRO LUCY  8.98
GERTRUDE DUSTIN  7.72
DERRICK COREY  7.56
TONYA DAN  4.34
ELLA LEWIS  5.77
ZACHARY WILMA  3.67
MAURICE KRISTIN  0.94
GINA VERNON  7.87
VERA ROBERTO  4.54
NATALIE CLYDE  1.08
AGNES HERMAN  1.01
CHARLENE CHARLIE  2.92
BESSIE SHANE  8.59
DELORES SAM  6.46
PEARL MELINDA  9.69
HECTOR GLEN  9.83
ARLENE RICARDO  2.44
TAMARA MAUREEN  4.83
LESTER GENE  2.72
COLLEEN ALLISON  0.86
TYLER RICK  7.71
JOY JOHNNIE  2.43
GEORGIA CONSTANCE  1.86
RAMON MARCIA  5.02
LILLIE CLAUDIA  0.59
BRENT TANYA  6.60
NELLIE MINNIE  3.35
GILBERT MARLENE  5.40
HEIDI GLENDA  2.11
MARC VIOLA  1.03
MARIAN LYDIA  4.56
BILLIE STELLA  3.60
GUADALUPE CAROLINE  7.42
REGINALD DORA  2.26
JO CECIL  7.45
CASEY BRETT  6.29
VICKIE RUBEN  4.73
JAIME RAFAEL  3.63
NATHANIEL MATTIE  7.47
MILTON EDGAR  8.57
RAUL MAXINE  7.20
IRMA MYRTLE  0.05
MARSHA MABEL  9.69
CHESTER BEN  9.27
ANDRE ADRIAN  9.16
LENA FRANKLIN  7.99
DUANE CHRISTY  8.43
TRACEY PATSY  5.16
GABRIEL DEANNA  7.89
JIMMIE HILDA  7.48
ELMER CHRISTIAN  7.97
BOBBIE GWENDOLYN  4.50
NORA MITCHELL  3.07
JENNIE BRAD  0.80
RON ROLAND  1.88
NINA MARGIE  9.48
LEAH HARVEY  2.73
CORY CASSANDRA  7.84
ARNOLD PRISCILLA  3.70
PENNY NAOMI  5.35
KAY KARL  6.89
JARED CAROLE  5.52
OLGA JAN  0.51
BRANDY LONNIE  8.53
LEONA DIANNE  0.16
CLAUDE SONIA  2.21
JORDAN JENNY  0.67
FELICIA ERIK  0.08
LINDSEY KERRY  1.17
DARRYL VELMA  1.11
NEIL MIRIAM  5.12
BECKY VIOLET  2.21
KRISTINA JAVIER  5.64
FERNANDO CODY  6.53
CLINTON TYRONE  1.05
TONI TED  9.49
RENE MATHEW  5.26
LINDSAY JULIO  7.02
DARREN MISTY  6.68
MAE LANCE  1.89
SHERRI SHELLY  9.85
SANDY RAMONA  7.21
PAT KURT  9.45
JODY DAISY  7.10
NELSON KATRINA  8.95
ERIKA CLAIRE  5.64
ALLAN HUGH  6.47
GUY CLAYTON  2.40
SHERYL MAX  4.80
MARGARITA GENEVA  4.18
DWAYNE BELINDA  9.19
FELIX FAYE  4.42
DWIGHT CORA  3.62
ARMANDO SABRINA  8.60
NATASHA ISABEL  4.80
EVERETT ADA  2.45
WALLACE SIDNEY  8.46
MARGUERITE IAN  8.55
HATTIE HARRIET  1.74
ROSIE MOLLY  6.56
KRISTI KEN  2.66
JOANNA IRIS  8.38
CECILIA BRANDI  2.32
BOB BLANCHE  4.57
JULIAN EUNICE  0.95
ANGIE ALFREDO  9.05
LYNDA IVAN  3.43
INEZ FREDDIE  0.57
DAVE ALBERTO  6.77
MADELINE DARYL  7.95
BYRON AMELIA  3.62
ALBERTA SONYA  4.51
PERRY MORRIS  6.28
MONIQUE MAGGIE  9.88
KRISTINE KAYLA  3.56
JODI JANIE  8.60
ISAAC GENEVIEVE  7.16
CANDACE YVETTE  7.64
WILLARD WHITNEY  6.93
VIRGIL ROSS  6.80
OPAL MELODY  3.93
MARYANN MARSHALL  2.40
FANNIE CLIFTON  8.95
ALISON SUSIE  7.22
SHELLEY SERGIO  0.41
SALVADOR OLIVIA  9.79
LUZ KIRK  9.55
FLORA ANDY  4.05
VERNA TERRANCE  1.99
SETH MAMIE  4.78
LULA LOLA  8.51
KRISTY KENT  0.93
BEULAH ANTOINETTE  5.54
TERRENCE GAYLE  9.07
EDUARDO PAM  0.17
KELLI JUANA  3.83
JOEY JEANNETTE  8.43
ENRIQUE DONNIE  0.92
CANDICE WADE  0.42
HANNAH FRANKIE  6.65
BRIDGET AUSTIN  0.31
STUART KARLA  5.45
EVAN CELIA  2.06
VICKY SHELIA  3.82
PATTY NICK  4.45
